I,o,d
136816,283,393
136817,265,197
136818,273,250
136819,221,376
136820,164,15
136821,185,19
136822,406,51
136823,219,212
136824,222,326
136825,415,187
136826,21,86
136827,51,188
136828,129,181
136829,198,269
136830,323,379
136831,210,348
136832,221,286
136833,276,69
136834,359,109
136835,138,453
136836,83,403
136837,64,372
136838,364,270
136839,97,389
136840,219,43
136841,69,214
136842,220,43
136843,160,326
136844,64,452
136845,106,92
136846,398,346
136847,101,384
136848,343,287
136849,211,386
136850,345,223
136851,302,361
136852,265,123
136853,116,125
136854,153,247
136855,111,314
136856,245,342
136857,261,447
136858,304,97
136859,340,121
136860,114,113
136861,96,149
136862,140,327
136863,401,114
136864,420,423
136865,320,437
136866,328,3
136867,226,396
136868,213,364
136869,155,327
136870,374,102
136871,219,252
136872,229,425
136873,317,418
136874,374,264
136875,261,41
136876,380,370
136877,49,238
136878,77,36
136879,40,159
136880,424,76
136881,364,16
136882,344,132
136883,65,386
136884,5,145
136885,141,131
136886,237,291
136887,371,449
136888,54,181
136889,166,386
136890,49,300
136891,327,212
136892,400,61
136893,356,153
136894,168,269
136895,28,25
136896,150,424
136897,81,1
136898,385,182
136899,450,313
136900,67,101
136901,260,98
136902,91,82
136903,338,33
136904,132,67
136905,227,52
136906,353,106
136907,87,433
136908,287,330
136909,218,237
136910,342,1
136911,36,208
136912,424,12
136913,268,117
136914,340,25
136915,437,330
136916,314,333
136917,339,377
136918,51,352
136919,41,167
136920,418,415
136921,333,243
136922,108,178
136923,216,107
136924,398,265
136925,334,418
136926,404,377
136927,104,170
136928,268,66
136929,380,64
136930,248,385
136931,145,64
136932,274,404
136933,123,8
136934,427,248
136935,313,180
136936,90,217
136937,428,86
136938,84,223
136939,361,284
136940,129,249
136941,260,292
136942,249,221
136943,132,223
136944,256,418
136945,6,76
136946,378,272
136947,218,429
136948,389,276
136949,274,429
136950,345,86
136951,23,2
136952,143,141
136953,189,439
136954,444,34
136955,325,365
136956,321,220
136957,73,109
136958,258,58
136959,335,432
136960,15,412
136961,447,89
136962,126,273
136963,302,294
136964,156,118
136965,51,241
136966,191,439
136967,444,15
136968,384,292
136969,264,245
136970,80,348
136971,149,342
136972,50,195
136973,451,268
136974,447,302
136975,312,254
136976,266,123
136977,285,144
136978,78,293
136979,159,144
136980,148,151
136981,107,12
136982,229,120
136983,434,373
136984,84,314
136985,361,150
136986,248,61
136987,164,374
136988,324,76
136989,334,351
136990,28,184
136991,125,401
136992,8,298
136993,422,185
136994,362,321
136995,415,454
136996,373,326
136997,387,140
136998,353,24
136999,91,141
137000,392,268
137001,295,364
137002,138,406
137003,116,46
137004,60,203
137005,172,275
137006,217,85
137007,279,292
137008,356,120
137009,223,258
137010,15,447
137011,167,43
137012,107,93
137013,5,266
137014,99,437
137015,386,243
137016,274,349
137017,39,372
137018,21,376
137019,295,301
137020,216,84
137021,408,293
137022,77,248
137023,339,367
137024,21,292
137025,143,67
137026,217,335
137027,397,196
137028,230,184
137029,289,327
137030,126,258
137031,320,326
137032,186,121
137033,386,335
137034,138,293
137035,1,125
137036,407,252
137037,22,103
137038,373,369
137039,316,55
137040,335,216
137041,290,256
137042,116,307
137043,436,128
137044,81,227
137045,267,184
137046,44,231
137047,16,445
137048,89,127
137049,202,370
137050,205,348
137051,87,418
137052,371,88
137053,296,6
137054,162,127
137055,429,196
137056,239,451
137057,107,157
137058,215,190
137059,57,11
137060,347,168
137061,281,452
137062,165,442
137063,283,15
137064,1,126
137065,355,247
137066,243,122
137067,283,391
137068,193,393
137069,177,158
137070,169,229
137071,367,27
137072,291,141
137073,102,422
137074,319,65
137075,290,250
137076,252,129
137077,386,199
137078,98,371
137079,424,198
137080,390,266
137081,152,379
137082,400,26
137083,289,30
137084,344,363
137085,107,91
137086,400,438
137087,365,361
137088,176,156
137089,0,251
137090,316,398
137091,264,312
137092,30,452
137093,231,137
137094,409,158
137095,439,384
137096,296,128
137097,90,55
137098,371,92
137099,296,214
137100,285,219
137101,293,93
137102,282,207
137103,400,44
137104,202,219
137105,21,234
137106,342,249
137107,296,439
137108,450,151
137109,311,281
137110,209,420
137111,328,383
137112,442,40
137113,177,399
137114,217,248
137115,297,29
137116,152,46
137117,169,76
137118,421,8
137119,101,235
137120,279,426
137121,206,27
137122,211,224
137123,262,446
137124,212,118
137125,232,254
137126,96,111
137127,249,114
137128,255,49
137129,97,355
137130,49,30
137131,344,190
137132,336,257
137133,226,3
137134,59,404
137135,315,297
137136,35,207
137137,121,354
137138,260,303
137139,276,24
137140,250,304
137141,212,207
137142,380,217
137143,349,127
137144,310,131
137145,319,375
137146,366,116
137147,216,35
137148,394,350
137149,184,282
137150,233,98
137151,420,303
137152,369,450
137153,226,27
137154,418,362
137155,164,289
137156,321,187
137157,341,316
137158,346,9
137159,431,161
137160,362,179
137161,49,109
137162,439,342
137163,446,351
137164,430,139
137165,337,389
137166,347,328
137167,114,230
137168,1,75
137169,336,352
137170,183,93
137171,213,119
137172,343,338
137173,196,44
137174,53,421
137175,203,226
137176,320,136
137177,116,258
137178,17,170
137179,189,54
137180,333,319
137181,65,360
137182,190,44
137183,430,260
137184,359,24
137185,85,251
137186,245,422
137187,83,117
137188,93,116
137189,364,149
137190,240,414
137191,334,69
137192,93,72
137193,200,12
137194,219,46
137195,80,232
137196,281,246
137197,298,216
137198,251,293
137199,243,242
137200,217,350
137201,58,331
137202,128,452
137203,30,334
137204,140,184
137205,391,51
137206,410,412
137207,22,305
137208,418,156
137209,250,294
137210,102,348
137211,216,18
137212,193,375
137213,308,342
137214,157,16
137215,303,332
137216,188,74
137217,397,267
137218,90,192
137219,269,420
137220,408,352
137221,177,47
137222,157,282
137223,449,201
137224,424,314
137225,94,260
137226,53,102
137227,96,234
137228,170,132
137229,292,121
137230,61,444
137231,11,269
137232,2,5
137233,300,122
137234,104,155
137235,5,283
137236,135,453
137237,391,10
137238,53,54
137239,161,433
137240,190,31
137241,344,245
137242,429,142
137243,316,20
137244,319,346
137245,334,273
137246,258,135
137247,191,65
137248,74,124
137249,362,448
137250,213,148
137251,121,147
137252,327,149
137253,176,66
137254,186,444
137255,367,228
137256,435,259
137257,204,392
137258,247,317
137259,50,112
137260,151,255
137261,6,277
137262,34,212
137263,377,77
137264,435,381
137265,229,373
137266,400,187
137267,415,3
137268,191,238
137269,227,94
137270,407,53
137271,91,209
137272,420,386
137273,442,34
137274,305,334
137275,438,354
137276,237,421
137277,267,281
137278,167,80
137279,28,271
137280,447,242
137281,363,82
137282,199,169
137283,119,224
137284,193,178
137285,110,327
137286,259,18
137287,356,303
137288,70,449
137289,31,211
137290,218,96
137291,56,403
137292,90,345
137293,259,19
137294,11,150
137295,83,342
137296,74,1
137297,195,55
137298,96,378
137299,205,442
137300,63,355
137301,29,446
137302,331,99
137303,252,215
137304,64,362
137305,51,156
137306,106,91
137307,200,322
137308,302,438
137309,263,127
137310,237,101
137311,429,76
137312,417,355
137313,443,39
137314,267,352
137315,162,366
137316,5,405
137317,248,81
137318,406,449
137319,206,327
137320,189,454
137321,284,329
137322,379,304
137323,55,116
137324,325,49
137325,367,41
137326,46,111
137327,227,221
137328,289,410
137329,351,310
137330,391,379
137331,352,301
137332,371,401
137333,90,423
137334,123,158
137335,284,307
137336,347,237
137337,1,181
137338,344,49
137339,136,414
137340,304,400
137341,405,197
137342,328,372
137343,351,233
137344,251,131
137345,180,265
137346,375,214
137347,400,28
137348,117,436
137349,343,380
137350,243,274
137351,425,63
137352,188,192
137353,419,360
137354,235,440
137355,238,374
137356,334,68
137357,443,250
137358,72,249
137359,376,430
137360,186,347
137361,38,221
137362,403,102
137363,175,309
137364,251,317
137365,19,362
137366,281,440
137367,149,430
137368,278,284
137369,156,119
137370,219,29
137371,358,247
137372,105,295
137373,142,207
137374,275,236
137375,392,450
137376,268,446
137377,306,133
137378,440,235
137379,398,395
137380,362,221
137381,335,81
137382,214,319
137383,127,78
137384,198,209
137385,360,215
137386,13,253
137387,260,249
137388,231,74
137389,453,259
137390,436,328
137391,385,75
137392,27,177
137393,411,76
137394,349,93
137395,307,125
137396,308,289
137397,279,64
137398,3,349
137399,337,219
137400,441,308
137401,77,356
137402,164,424
137403,316,56
137404,215,219
137405,116,3
137406,398,164
137407,310,65
137408,145,77
137409,334,74
137410,28,186
137411,375,377
137412,150,7
137413,192,193
137414,46,450
137415,373,278
137416,106,135
137417,38,325
137418,175,261
137419,38,51
137420,198,217
137421,212,138
137422,100,0
137423,64,108
137424,134,203
137425,261,434
137426,19,271
137427,175,358
137428,95,165
137429,313,425
137430,259,151
137431,152,409
137432,88,414
137433,262,102
137434,359,142
137435,177,123
137436,109,273
137437,208,421
137438,347,22
137439,260,135
137440,67,417
137441,12,19
137442,263,280
137443,321,357
137444,91,287
137445,446,340
137446,99,74
137447,190,309
137448,79,226
137449,114,16
137450,299,3
137451,251,255
137452,224,434
137453,302,207
137454,421,180
137455,124,397
137456,369,72
137457,183,423
137458,47,416
137459,415,100
137460,35,15
137461,183,59
137462,1,47
137463,394,102
137464,10,86
137465,324,172
137466,65,225
137467,177,313
137468,430,197
137469,86,405
137470,67,244
137471,138,431
137472,291,147
137473,141,317
137474,381,417
137475,172,287
137476,85,445
137477,361,212
137478,365,164
137479,320,348
137480,275,282
137481,268,407
137482,28,257
137483,310,250
137484,225,443
137485,429,452
137486,302,0
137487,202,76
137488,297,15
137489,8,284
137490,39,321
137491,199,44
137492,186,89
137493,57,206
137494,218,121
137495,16,246
137496,305,335
137497,398,399
137498,60,113
137499,299,24
137500,126,318
137501,148,26
137502,282,54
137503,184,324
137504,454,280
137505,374,213
137506,114,9
137507,75,25
137508,231,319
137509,164,401
137510,182,283
137511,47,309
137512,96,259
137513,443,188
137514,331,86
137515,185,52
137516,245,115
137517,101,157
137518,147,133
137519,346,384
137520,214,413
137521,193,132
137522,40,77
137523,99,189
137524,267,400
137525,405,165
137526,273,103
137527,44,110
137528,132,182
137529,73,135
137530,400,248
137531,238,187
137532,380,382
137533,173,84
137534,200,277
137535,307,259
137536,384,362
137537,243,308
137538,160,127
137539,390,452
137540,300,142
137541,328,272
137542,11,95
137543,42,72
137544,139,424
137545,377,81
137546,346,44
137547,400,229
137548,275,24
137549,3,413
137550,343,28
137551,274,379
137552,175,326
137553,127,402
137554,413,96
137555,226,341
137556,407,442
137557,135,265
137558,9,305
137559,308,444
137560,77,202
137561,75,387
137562,247,418
137563,320,433
137564,254,313
137565,317,161
137566,132,265
137567,31,96
137568,30,344
137569,84,422
137570,257,195
137571,398,296
137572,110,90
137573,151,75
137574,394,142
137575,114,34
137576,5,317
137577,130,243
137578,356,294
137579,373,214
137580,7,398
137581,216,65
137582,185,243
137583,140,174
137584,221,126
137585,354,64
137586,12,124
137587,349,440
137588,122,282
137589,228,286
137590,166,31
137591,197,400
137592,252,104
137593,95,448
137594,49,22
137595,375,151
137596,203,51
137597,410,255
137598,39,204
137599,417,190
137600,26,386
137601,28,1
137602,268,373
137603,296,424
137604,189,251
137605,321,4
137606,430,393
137607,295,275
137608,389,352
137609,335,200
137610,17,26
137611,402,258
137612,125,396
137613,36,410
137614,328,448
137615,290,402
137616,273,287
137617,392,38
137618,1,287
137619,311,289
137620,66,129
137621,251,439
137622,204,436
137623,378,140
137624,272,339
137625,43,251
137626,108,126
137627,138,392
137628,293,42
137629,255,28
137630,128,164
137631,352,428
137632,199,211
137633,62,307
137634,338,216
137635,48,98
137636,301,176
137637,360,416
137638,422,383
137639,307,214
137640,68,272
137641,451,360
137642,357,172
137643,172,192
137644,443,59
137645,427,342
137646,318,216
137647,181,217
137648,360,319
137649,227,274
137650,82,438
137651,411,46
137652,368,63
137653,108,395
137654,265,143
137655,44,56
137656,174,1
137657,294,90
137658,117,296
137659,297,375
137660,149,312
137661,403,450
137662,44,390
137663,448,391
137664,315,25
137665,401,160
137666,295,229
137667,65,332
137668,439,349
137669,326,273
137670,403,448
137671,142,78
137672,98,376
137673,140,23
137674,217,410
137675,117,377
137676,63,229
137677,360,135
137678,363,174
137679,426,268
137680,156,15
137681,393,294
137682,26,187
137683,152,284
137684,35,19
137685,7,230
137686,358,154
137687,234,329
137688,414,69
137689,134,113
137690,246,168
137691,379,299
137692,105,142
137693,210,163
137694,202,343
137695,314,182
137696,7,135
137697,276,173
137698,13,203
137699,425,431
137700,163,91
137701,137,109
137702,25,208
137703,325,249
137704,446,228
137705,98,110
137706,380,269
137707,291,101
137708,308,404
137709,393,309
137710,45,51
137711,188,300
137712,0,3
137713,135,141
137714,18,404
137715,70,353
137716,327,132
137717,269,349
137718,244,22
137719,295,277
137720,215,332
137721,109,379
137722,298,410
137723,150,407
137724,300,243
137725,211,50
137726,120,168
137727,393,200
137728,262,119
137729,8,408
137730,354,279
137731,332,138
137732,247,196
137733,412,367
137734,124,67
137735,27,408
137736,247,175
137737,111,105
137738,446,399
137739,423,110
137740,19,248
137741,179,194
137742,324,108
137743,191,332
137744,264,325
137745,31,164
137746,110,125
137747,200,76
137748,374,341
137749,355,70
137750,344,100
137751,429,352
137752,358,264
137753,16,127
137754,446,144
137755,314,290
137756,327,72
137757,199,402
137758,375,352
137759,363,189
137760,245,82
137761,196,424
137762,429,86
137763,317,22
137764,215,36
137765,94,265
137766,262,273
137767,12,272
137768,453,389
137769,361,277
137770,178,307
137771,380,114
137772,170,282
137773,438,112
137774,94,93
137775,55,207
137776,18,74
137777,147,48
137778,80,397
137779,432,16
137780,355,215
137781,167,338
137782,362,61
137783,24,181
137784,3,128
137785,435,230
137786,138,333
137787,68,133
137788,300,173
137789,406,187
137790,278,340
137791,84,63
137792,274,30
137793,168,113
137794,190,70
137795,13,194
137796,11,440
137797,317,341
137798,145,443
137799,75,401
137800,212,180
137801,422,285
137802,346,377
137803,330,420
137804,107,351
137805,60,290
137806,60,233
137807,236,320
137808,168,357
137809,247,264
137810,394,380
137811,10,63
137812,326,6
137813,300,84
137814,62,370
137815,308,402
137816,4,371
137817,257,176
137818,313,244
137819,361,93
137820,360,271
137821,57,151
137822,439,189
137823,180,303
137824,46,142
137825,138,336
137826,348,350
137827,44,169
137828,125,195
137829,411,343
137830,346,172
137831,354,248
137832,405,169
137833,320,306
137834,209,231
137835,283,292
137836,393,447
137837,407,183
137838,431,284
137839,32,136
137840,444,20
137841,292,303
137842,240,86
137843,130,183
137844,88,35
137845,418,50
137846,213,222
137847,138,249
137848,129,366
137849,196,193
137850,65,408
137851,244,92
137852,7,300
137853,283,13
137854,5,116
137855,377,356
137856,84,393
137857,201,380
137858,349,15
137859,319,330
137860,378,164
137861,421,108
137862,397,278
137863,329,297
137864,305,145
137865,152,43
137866,77,270
137867,150,120
137868,4,420
137869,168,47
137870,377,416
137871,0,190
137872,267,383
137873,363,258
137874,35,104
137875,408,262
137876,151,265
137877,43,405
137878,323,133
137879,182,313
137880,238,322
137881,140,273
137882,36,3
137883,192,99
137884,265,30
137885,325,316
137886,244,334
137887,54,338
137888,110,148
137889,241,228
137890,211,95
137891,377,10
137892,449,280
137893,89,182
137894,178,330
137895,47,263
137896,198,115
137897,159,354
137898,38,297
137899,58,354
137900,336,367
137901,93,179
137902,201,432
137903,139,56
137904,143,260
137905,292,266
137906,70,229
137907,126,246
137908,399,451
137909,383,44
137910,261,397
137911,67,295
137912,86,32
137913,216,191
137914,40,173
137915,294,25
137916,265,349
137917,445,371
137918,374,407
137919,346,263
137920,32,341
137921,394,122
137922,59,327
137923,112,249
137924,266,438
137925,103,358
137926,391,350
137927,154,385
137928,76,309
137929,60,9
137930,2,16
137931,274,72
137932,169,201
137933,334,333
137934,79,11
137935,215,279
137936,204,198
137937,295,347
137938,92,41
137939,175,297
137940,202,368
137941,47,411
137942,221,300
137943,350,264
137944,287,48
137945,420,187
137946,104,65
137947,363,366
137948,218,111
137949,370,306
137950,106,324
137951,215,157
137952,284,295
137953,139,336
137954,105,443
137955,416,244
137956,159,376
137957,319,331
137958,321,235
137959,26,36
137960,149,172
137961,63,140
137962,377,427
137963,285,14
137964,203,339
137965,41,385
137966,8,345
137967,23,194
137968,395,44
137969,171,298
137970,309,123
137971,416,348
137972,233,38
137973,418,264
137974,452,261
137975,65,31
137976,298,46
137977,56,409
137978,353,203
137979,425,115
137980,205,19
137981,21,328
137982,419,198
137983,166,209
137984,272,192
137985,182,115
137986,206,127
137987,29,97
137988,156,438
137989,312,293
137990,39,147
137991,114,236
137992,32,195
137993,424,299
137994,351,312
137995,438,232
137996,12,438
137997,2,429
137998,261,230
137999,253,120
138000,128,429
138001,135,156
138002,331,151
138003,387,200
138004,444,279
138005,81,220
138006,222,302
138007,327,39
138008,41,172
138009,221,35
138010,49,50
138011,91,366
138012,69,422
138013,199,356
138014,25,256
138015,318,442
138016,184,173
138017,27,279
138018,19,91
138019,372,107
138020,180,429
138021,151,226
138022,303,185
138023,449,92
138024,332,2
138025,271,165
138026,432,39
138027,149,440
138028,392,258
138029,33,155
138030,105,231
138031,369,64
138032,391,149
138033,235,413
138034,114,118
138035,235,50
138036,180,21
138037,261,70
138038,151,446
138039,349,190
138040,411,97
138041,30,335
138042,392,423
138043,279,401
138044,177,110
138045,392,267
138046,352,135
138047,155,278
138048,409,444
138049,72,452
138050,427,346
138051,62,362
138052,295,84
138053,4,47
138054,441,428
138055,29,22
138056,370,312
138057,260,197
138058,226,422
138059,444,324
138060,223,104
138061,205,306
138062,312,296
138063,354,444
138064,345,364
138065,345,22
138066,264,347
138067,8,147
138068,233,165
138069,183,107
138070,321,424
138071,1,250
138072,151,80
138073,233,302
138074,407,291
138075,375,430
138076,287,131
138077,293,193
138078,303,436
138079,367,165
138080,375,97
138081,151,216
138082,234,34
138083,201,240
138084,34,343
138085,72,329
138086,274,306
138087,0,106
138088,173,213
138089,398,6
138090,19,166
138091,336,348
138092,264,133
138093,424,36
138094,10,239
138095,410,377
138096,77,69
138097,52,251
138098,247,296
138099,300,392
138100,16,315
138101,248,452
138102,354,324
138103,162,293
138104,132,307
138105,157,362
138106,420,123
138107,321,325
138108,96,317
138109,11,355
138110,154,131
138111,200,326
138112,68,188
138113,272,416
138114,352,84
138115,446,48
138116,75,59
138117,27,312
138118,393,100
138119,99,80
138120,207,399
138121,32,426
138122,302,205
138123,225,243
138124,219,393
138125,167,270
138126,367,22
138127,210,220
138128,113,448
138129,24,356
138130,315,441
138131,17,117
138132,200,87
138133,76,125
138134,354,337
138135,35,23
138136,425,127
138137,436,273
138138,62,323
138139,101,329
138140,125,370
138141,146,50
138142,12,61
138143,293,341
138144,160,93
138145,335,270
138146,117,320
138147,162,84
138148,102,292
138149,10,336
138150,267,127
138151,64,244
138152,183,129
138153,190,216
138154,319,419
138155,40,217
138156,358,81
138157,105,214
138158,304,424
138159,313,346
138160,273,138
138161,117,315
138162,299,126
138163,224,359
138164,339,213
138165,188,67
138166,1,311
138167,194,134
138168,8,327
138169,63,26
138170,350,20
138171,39,127
138172,361,130
138173,301,111
138174,62,381
138175,417,226
138176,399,147
138177,145,125
138178,220,267
138179,334,192
138180,206,19
138181,162,114
138182,291,66
138183,195,166
138184,268,72
138185,304,217
138186,226,176
138187,117,204
138188,59,415
138189,192,81
138190,18,290
138191,257,348
138192,319,175
138193,25,96
138194,114,365
138195,261,382
138196,65,350
138197,85,21
138198,39,434
138199,215,292
138200,30,125
138201,8,160
138202,401,330
138203,16,250
138204,288,40
138205,384,195
138206,441,417
138207,165,19
138208,217,439
138209,346,217
138210,216,397
138211,258,51
138212,207,23
138213,163,382
138214,450,99
138215,384,191
138216,99,275
138217,79,24
138218,406,199
138219,143,16
138220,48,397
138221,246,173
138222,116,293
138223,438,54
138224,312,439
138225,384,359
138226,190,251
138227,20,112
138228,317,287
138229,169,182
138230,256,62
138231,102,35
138232,152,123
138233,306,248
138234,33,259
138235,401,434
138236,425,228
138237,22,72
138238,41,120
138239,132,247
138240,263,415
138241,197,259
138242,305,144
138243,46,184
138244,75,185
138245,416,150
138246,108,116
138247,87,109
138248,134,321
138249,237,380
138250,315,375
138251,81,371
138252,321,119
138253,453,168
138254,292,81
138255,277,270
138256,430,311
138257,64,266
138258,223,233
138259,305,290
138260,163,392
138261,305,53
138262,206,441
138263,170,143
138264,52,165
138265,86,379
138266,362,444
138267,180,225
138268,7,175
138269,160,443
138270,405,191
138271,377,340
138272,434,233
138273,440,414
138274,19,372
138275,2,22
138276,77,275
138277,185,233
138278,381,348
138279,356,414
138280,32,264
138281,322,270
138282,217,76
138283,142,326
138284,174,397
138285,13,298
138286,356,407
138287,31,366
138288,376,84
138289,114,443
138290,84,364
138291,93,342
138292,312,434
138293,7,413
138294,264,331
138295,71,133
138296,63,30
138297,52,434
138298,320,360
138299,412,359
138300,167,186
138301,164,407
138302,274,312
138303,394,239
138304,295,184
138305,126,236
138306,274,52
138307,71,136
138308,253,333
138309,47,97
138310,255,172
138311,25,229
138312,239,174
138313,1,205
138314,276,449
138315,72,10
138316,71,329
138317,253,392
138318,61,1
138319,271,368
138320,58,154
138321,346,432
138322,407,153
138323,191,46
138324,4,333
138325,41,422
138326,416,281
138327,258,416
138328,103,359
138329,272,245
138330,9,176
138331,112,441
138332,328,264
138333,212,453
138334,38,430
138335,325,40
138336,106,304
138337,65,410
138338,385,19
138339,329,162
138340,306,222
138341,155,351
138342,411,358
138343,423,162
138344,325,256
138345,272,12
138346,95,69
138347,67,302
138348,397,327
138349,95,181
138350,230,59
138351,107,216
138352,184,174
138353,217,445
138354,142,367
138355,418,265
138356,442,452
138357,165,321
138358,91,189
138359,67,51
138360,428,429
138361,2,116
138362,376,347
138363,123,446
138364,449,413
138365,107,428
138366,150,372
138367,442,340
138368,433,102
138369,279,266
138370,119,428
138371,382,319
138372,408,88
138373,94,282
138374,305,195
138375,180,170
138376,8,180
138377,280,316
138378,384,192
138379,423,285
138380,153,286
138381,43,172
138382,256,172
138383,439,183
138384,294,332
138385,155,431
138386,241,272
138387,262,278
138388,164,376
138389,438,363
138390,347,142
138391,231,318
138392,354,330
138393,245,234
138394,48,118
138395,193,317
138396,196,54
138397,181,202
138398,328,56
138399,412,30
138400,405,0
138401,145,215
138402,396,30
138403,402,224
138404,308,179
138405,280,387
138406,227,116
138407,301,300
138408,188,54
138409,166,187
138410,312,120
138411,76,412
138412,107,291
138413,377,187
138414,442,411
138415,171,46
138416,81,42
138417,74,43
138418,260,259
138419,334,423
138420,121,175
138421,391,72
138422,349,387
138423,216,308
138424,202,214
138425,354,317
138426,297,318
138427,412,429
138428,421,449
138429,217,283
138430,154,169
138431,149,201
138432,416,212
138433,191,24
138434,378,5
138435,193,107
138436,240,101
138437,261,244
138438,258,443
138439,238,57
138440,126,122
138441,42,187
138442,245,423
138443,333,422
138444,9,200
138445,425,311
138446,365,374
138447,443,216
138448,115,238
138449,367,434
138450,317,173
138451,329,333
138452,10,145
138453,109,36
138454,184,289
138455,54,276
138456,329,313
138457,16,23
138458,136,328
138459,386,252
138460,49,229
138461,46,363
138462,165,13
138463,61,214
138464,437,324
138465,421,276
138466,170,29
138467,293,8
138468,275,33
138469,288,174
138470,437,446
138471,392,351
138472,188,44
138473,300,36
138474,25,54
138475,327,442
138476,375,317
138477,61,299
138478,317,415
138479,291,214
138480,351,208
138481,85,315
138482,138,390
138483,1,115
138484,198,240
138485,44,253
138486,186,73
138487,438,91
138488,453,450
138489,62,80
138490,155,73
138491,95,13
138492,160,444
138493,335,435
138494,253,154
138495,35,339
138496,440,358
138497,423,342
138498,420,178
138499,154,433
138500,37,17
138501,350,413
138502,106,210
138503,150,127
138504,205,56
138505,26,55
138506,364,44
138507,401,180
138508,434,122
138509,267,414
138510,52,244
138511,234,90
138512,376,39
138513,186,178
138514,223,406
138515,314,236
138516,139,439
138517,423,350
138518,155,362
138519,343,121
138520,156,269
138521,231,258
138522,453,65
138523,54,348
138524,369,184
138525,4,399
138526,361,141
138527,301,333
138528,82,107
138529,39,333
138530,146,442
138531,141,244
138532,62,427
138533,59,446
138534,349,325
138535,32,438
138536,92,178
138537,43,119
138538,386,400
138539,406,8
138540,311,54
138541,306,27
138542,339,86
138543,273,228
138544,287,181
138545,376,162
138546,191,334
138547,139,80
138548,426,138
138549,436,283
138550,118,236
138551,94,172
138552,3,24
138553,399,93
138554,117,371
138555,128,417
138556,198,294
138557,193,35
138558,417,128
138559,393,181
138560,293,196
138561,34,434
138562,177,144
138563,80,74
138564,356,185
138565,339,10
138566,348,71
138567,123,20
138568,192,337
138569,255,168
138570,268,301
138571,152,429
138572,449,419
138573,208,12
138574,349,66
138575,222,249
138576,118,245
138577,233,323
138578,251,128
138579,189,170
138580,134,234
138581,198,291
138582,24,22
138583,278,327
138584,242,32
138585,179,232
138586,310,113
138587,80,56
138588,380,30
138589,267,173
138590,447,334
138591,338,448
138592,234,280
138593,353,201
138594,412,46
138595,268,258
138596,426,236
138597,104,22
138598,165,26
138599,152,128
138600,384,415
138601,175,285
138602,435,232
138603,233,332
138604,317,110
138605,383,444
138606,269,192
138607,58,363
138608,30,58
138609,278,400
138610,179,182
138611,312,287
138612,255,320
138613,45,350
138614,374,172
138615,386,446
138616,128,385
138617,171,95
138618,347,131
138619,191,33
138620,311,201
138621,19,56
138622,237,364
138623,27,354
138624,327,210
138625,234,160
138626,90,68
138627,330,282
138628,297,302
138629,166,148
138630,237,85
138631,386,248
138632,103,191
138633,146,210
138634,324,169
138635,444,427
138636,138,78
138637,393,442
138638,383,213
138639,171,65
138640,407,3
138641,174,430
138642,406,89
138643,174,11
138644,28,308
138645,354,266
138646,84,363
138647,444,238
138648,410,149
138649,17,108
138650,196,346
138651,267,434
138652,117,283
138653,398,139
138654,55,397
138655,154,325
138656,170,298
138657,212,235
138658,71,443
138659,418,353
138660,308,151
138661,121,129
138662,334,149
138663,100,190
138664,216,429
138665,371,166
138666,429,400
138667,371,68
138668,342,199
138669,195,327
138670,307,228
138671,281,436
138672,139,152
138673,232,1
138674,386,444
138675,86,223
138676,326,371
138677,15,287
138678,30,258
138679,69,114
138680,223,234
138681,265,423
138682,158,270
138683,129,296
138684,26,216
138685,164,340
138686,159,28
138687,91,248
138688,302,167
138689,405,104
138690,288,207
138691,69,38
138692,106,134
138693,228,294
138694,351,353
138695,386,297
138696,82,422
138697,20,364
138698,383,248
138699,2,125
138700,20,320
138701,177,446
138702,47,66
138703,381,354
138704,188,356
138705,235,397
138706,343,207
138707,345,227
138708,72,27
138709,264,232
138710,45,313
138711,132,5
138712,211,106
138713,120,231
138714,296,408
138715,225,370
138716,384,2
138717,267,247
138718,194,436
138719,262,98
138720,116,336
138721,411,207
138722,260,50
138723,415,209
138724,13,435
138725,9,10
138726,393,378
138727,253,358
138728,15,239
138729,355,171
138730,140,119
138731,190,74
138732,219,183
138733,218,288
138734,426,144
138735,114,269
138736,94,211
138737,169,256
138738,446,115
138739,197,414
138740,249,280
138741,223,405
138742,30,317
138743,100,176
138744,307,95
138745,319,408
138746,165,416
138747,393,142
138748,357,244
138749,147,262
138750,16,167
138751,21,16
138752,324,400
138753,412,302
138754,151,284
138755,416,26
138756,215,432
138757,101,259
138758,219,203
138759,203,284
138760,382,291
138761,163,248
138762,366,182
138763,431,358
138764,235,352
138765,88,232
138766,383,17
138767,220,218
138768,316,397
138769,383,404
138770,18,99
138771,381,47
138772,308,282
138773,294,237
138774,133,299
138775,168,360
138776,272,372
138777,168,29
138778,161,213
138779,206,404
138780,61,405
138781,127,378
138782,135,98
138783,16,117
138784,432,427
138785,211,254
138786,113,57
138787,2,225
138788,22,317
138789,400,442
138790,35,265
138791,118,87
138792,300,95
138793,375,433
138794,199,78
138795,365,135
138796,221,34
138797,67,218
138798,145,53
138799,398,212
138800,99,168
138801,309,386
138802,390,226
138803,304,85
138804,257,69
138805,112,403
138806,2,406
138807,449,327
138808,106,131
138809,161,192
138810,272,385
138811,109,331
138812,124,212
138813,87,446
138814,159,428
